Cultivate,Secret Lair Drop,Near Mint,True,900,'2'
Cultivate,Commander Legends,Near Mint,False,80,'8'
Cultivate,Core Set 2021,Near Mint,False,110,'8'
Cultivate (Alternate Art),Core Set 2021,Near Mint,False,330,'5'
Cultivator of Blades,Kaladesh,Near Mint,False,60,'25'
Oashra Cultivator,Amonkhet,Near Mint,False,30,'8'
Nantuko Cultivator,Modern Horizons,Near Mint,False,40,'4'
Careful Cultivation,Kamigawa: Neon Dynasty,Near Mint,False,30,'8'
Careful Cultivation,Kamigawa: Neon Dynasty,Near Mint,True,40,'1'
Deathcap Cultivator,Shadows over Innistrad,Near Mint,False,70,'22'
Deathcap Cultivator,Shadows over Innistrad,Near Mint,True,110,'2'
Cultivator's Caravan,Kaladesh,Near Mint,False,80,'12'
Cultivator Drone,Oath of the Gatewatch,Near Mint,False,30,'8'
Evolution Sage,War of the Spark,Near Mint,False,210,'4'
Nessian Hornbeetle,Jumpstart,Near Mint,False,40,'4'
Kefnet's Monument,Amonkhet,Near Mint,False,60,'3'
Cultivate,,,,Sold Out,0
Cultivate,,,,Sold Out,0
Cultivate,Commander Anthology Volume II,Near Mint,False,150,'6'
Cultivate (Etched Foil),Strixhaven Mystical Archive,Near Mint,True,200,'6'
Cultivate (Alternate Art),Core Set 2021,Near Mint,False,400,'8'
Cultivate (Alternate Art),Core Set 2021,Near Mint,True,550,'24'
Cultivate (Japanese Etched Foil),Strixhaven Mystical Archive,Near Mint,True,250,'27'
Cultivator Colossus (Extended),Innistrad: Crimson Vow,Near Mint,False,3300,'1'
Cultivator Colossus (Extended),Innistrad: Crimson Vow,Near Mint,True,5300,'1'
Cultivator Colossus,Innistrad: Double Feature,Near Mint,False,3450,'1'
Cultivator Colossus,Innistrad: Crimson Vow,Near Mint,False,2500,'8'
Cultivator Colossus,Innistrad: Crimson Vow,Near Mint,True,3000,'2'
Deathcap Cultivator,Shadows over Innistrad,Near Mint,False,100,'8'
Deathcap Cultivator,Shadows over Innistrad,Near Mint,True,150,'1'
Careful Cultivation,Kamigawa: Neon Dynasty,Near Mint,False,50,'8'
Careful Cultivation,Kamigawa: Neon Dynasty,Near Mint,True,50,'5'
Quandrix Cultivator,Strixhaven: School of Mages,Near Mint,False,50,'8'
Quandrix Cultivator,Strixhaven: School of Mages,Near Mint,True,50,'2'
Cultivator Colossus (Promo Pack),Innistrad: Crimson Vow Promos,Near Mint,True,3650,'1'
Nantuko Cultivator,Torment,Near Mint,False,100,'6'
Nantuko Cultivator,Torment,Lightly Played,False,85,'2'
Cultivator of Blades,Kaladesh,Near Mint,False,100,'8'
Cultivator of Blades,Kaladesh,Near Mint,True,100,'2'
Cultivator of Blades,Kaladesh,Lightly Played,False,85,'1'
Oashra Cultivator,Amonkhet,Near Mint,False,50,'8'
Nantuko Cultivator,Modern Horizons,Near Mint,False,50,'8'
Nantuko Cultivator,Modern Horizons,Near Mint,True,100,'1'
Cultivator of Blades,Kaladesh Promos,Near Mint,True,100,'1'
Cultivator of Blades,Kaladesh Promos,Near Mint,True,150,'2'
Cultivator of Blades,Kaldheim Commander,Near Mint,False,100,'4'
Cultivator's Caravan,Kamigawa: Neon Dynasty Commander,Near Mint,False,100,'3'
Cultivator's Caravan,Kaladesh,Near Mint,False,100,'7'
Cultivator Drone,Oath of the Gatewatch,Near Mint,False,50,'7'
Evolution Sage,Streets of New Capenna Commander,Near Mint,False,250,'4'
Vagrant Plowbeasts,Conflux,Near Mint,False,50,'8'
Mounted Dreadknight,Innistrad: Double Feature,Near Mint,False,50,'1'
Mounted Dreadknight,Innistrad: Midnight Hunt,Near Mint,False,50,'8'
Midvast Protector,Avacyn Restored,Near Mint,False,50,'8'
Nessian Hornbeetle,Jumpstart,Near Mint,False,50,'8'
Nessian Hornbeetle,Theros Beyond Death,Near Mint,False,50,'7'
For the Family,Streets of New Capenna,Near Mint,False,50,'7'
For the Family,Streets of New Capenna,Near Mint,True,50,'5'
Kefnet's Monument,Amonkhet,Near Mint,False,100,'7'
Thorn Thallid (Daniel Gelon),Fallen Empires,Near Mint,False,50,'2'
Thorn Thallid (Daniel Gelon),Fallen Empires,Lightly Played,False,42,'3'
Evolution Sage,War of the Spark,Near Mint,False,250,'2'
Porcelain Legionnaire,New Phyrexia,Near Mint,False,50,'6'
Sunseed Nurturer,Shards of Alara,Near Mint,False,50,'8'
Cultivate,,,,Sold Out,0
Cultivate,,,,Sold Out,0
Cultivate,,,,Sold Out,0
Cultivate,,,,Sold Out,0
Cultivate,,,,Sold Out,0
Cultivate,,,,Sold Out,0
Cultivate,,,,Sold Out,0
Cultivate,,,,Sold Out,0
Cultivate,,,,Sold Out,0
Cultivate (Surge Foil),,,,Sold Out,0
Cultivate Art Card,,,,Sold Out,0
Cultivate,,,,Sold Out,0
Cultivate,,,,Sold Out,0
Cultivate,,,,Sold Out,0
Nantuko Cultivator,,,,Sold Out,0
Oashra Cultivator,,,,Sold Out,0
Deathcap Cultivator,,,,Sold Out,0
Cultivator Colossus,,,,Sold Out,0
Cultivator's Caravan,,,,Sold Out,0
Careful Cultivation Art Card,,,,Sold Out,0
"Kestia, the Cultivator",,,,Sold Out,0
Careful Cultivation Art Card (Gold-Stamped Signature),,,,Sold Out,0
Nessian Hornbeetle,,,,Sold Out,0
Evolution Sage,,,,Sold Out,0
