Cultivate,Mystery Booster,Near Mint,False,130,21
Cultivate,Masters 25,Near Mint,False,120,19
Cultivate,Magic 2011,Near Mint,False,120,6
Cultivate,Strixhaven Mystical Archive,Near Mint,False,120,8
Cultivate (Alternate Art),Core Set 2021,Near Mint,False,360,8
Cultivate,Core Set 2021,Near Mint,False,120,20
Cultivate (Etched Foil),Strixhaven Mystical Archive,Near Mint,True,200,7
Cultivator Colossus (Extended),Innistrad: Crimson Vow,Near Mint,False,3330,2
Cultivator Colossus,Innistrad: Crimson Vow,Near Mint,False,2530,4
Cultivator Colossus,Innistrad: Crimson Vow,Lightly Played,False,2150,1
Careful Cultivation,Kamigawa: Neon Dynasty,Near Mint,False,40,20
Cultivator's Caravan,Kaladesh,Near Mint,False,80,1
Cultivator of Blades,Kaladesh,Near Mint,False,70,8
Oashra Cultivator,Amonkhet,Near Mint,False,40,20
Nantuko Cultivator,Modern Horizons,Near Mint,False,40,20
Deathcap Cultivator,Shadows over Innistrad,Near Mint,False,80,8
Quandrix Cultivator,Strixhaven: School of Mages,Near Mint,False,40,20
Quandrix Cultivator,Strixhaven: School of Mages,Near Mint,True,50,7
Cultivator Drone,Oath of the Gatewatch,Near Mint,False,40,16
Vagrant Plowbeasts,Conflux,Near Mint,False,40,20
Porcelain Legionnaire,New Phyrexia,Near Mint,False,40,20
Mounted Dreadknight,Innistrad: Double Feature,Near Mint,False,40,16
Midvast Protector,Avacyn Restored,Near Mint,False,40,20
Nessian Hornbeetle,Theros Beyond Death,Near Mint,False,40,20
For the Family,Streets of New Capenna,Near Mint,False,30,20
Sunseed Nurturer,Shards of Alara,Near Mint,False,40,20
Evolution Sage,War of the Spark,Near Mint,False,200,15
Mounted Dreadknight,Innistrad: Midnight Hunt,Near Mint,False,30,20
Kefnet's Monument,Amonkhet,Near Mint,False,70,20
